,movieNm,naver_movieCd,ntz_see_score,spc_score,ntz_score
630,그레이트 월,126034,9.22,6.4,9.15
631,더 큐어,143372,8.45,7.29,8.18
632,50가지 그림자: 심연,144081,8.77,6.5,8.05
633,컨택트,136869,8.9,8.34,8.59
634,트리플 엑스 리턴즈,102278,7.31,6.78,6.61
635,트롤,101904,8.65,5.77,8.1
636,23 아이덴티티,144927,8.39,6.0,8.03
637,싱글라이더,146459,8.88,7.03,8.71
638,너의 이름은.,150198,8.59,6.88,8.57
639,모아나,130849,8.76,0.0,8.86
640,"그래, 가족",151192,0.0,0.0,6.65
641,문라이트,152684,0.0,0.0,3.67
642,스노든,134887,8.07,6.86,7.91
643,언더월드: 블러드 워,137887,9.19,6.0,9.2
644,루시드 드림,130713,8.87,0.0,8.73
645,레고 배트맨 무비,132627,8.18,0.0,6.98
646,녹터널 애니멀스,143409,7.77,2.25,7.42
647,미인어,127383,7.34,6.17,5.28
648,마스터,145162,0.0,0.0,6.06
649,존 윅 - 리로드,143932,6.64,6.0,6.5
650,맨체스터 바이 더 씨,137956,9.3,6.5,9.18
651,라이언,134841,7.94,6.5,7.65
652,언프렌드,146361,8.27,6.47,8.35
653,삼소야적검,151132,0.0,0.0,6.48
654,마이펫 오지,157500,9.42,6.93,9.04
655,패신저스,116233,8.81,7.54,8.75
656,레지던트 이블: 파멸의 날,110333,8.56,5.22,8.03
657,극장판 소드 아트 온라인 -오디널 스케일-,159408,0.0,0.0,0.0
658,닥터 스트레인지,125459,9.6,0.0,9.39
659,명탐정 코난 : 에피소드 원 - 작아진 명탐정,158849,8.3,0.0,8.27
660,퍼스널 쇼퍼,144221,7.92,4.5,6.45
661,사일런스,90922,7.66,6.9,7.46
662,로건,117787,9.48,7.0,8.38
663,아주 긴 변명,154536,8.69,7.08,8.18
664,다른 길이 있다,134976,0.0,0.0,5.21
665,가족의 재구성,158634,0.0,0.0,8.81
666,콩: 스컬 아일랜드,127397,8.86,5.83,8.73
667,그레이트 월,126034,9.02,7.55,8.75
668,트롤,101904,8.58,6.5,8.86
669,핵소 고지,142305,8.65,5.77,8.1
670,싱글라이더,146459,8.39,6.0,8.03
671,23 아이덴티티,144927,8.88,7.03,8.71
672,문라이트,152684,8.59,6.88,8.57
673,너의 이름은.,150198,8.76,0.0,8.86
674,모아나,130849,8.78,5.92,8.31
675,발레리나,130984,0.0,0.0,3.67
676,루시드 드림,130713,7.42,6.4,7.09
677,라라랜드,134963,8.07,6.86,7.91
678,얼라이드,149777,9.19,6.0,9.2
679,존 윅 - 리로드,143932,8.87,0.0,8.73
680,미인어,127383,0.0,0.0,4.25
681,스노든,134887,7.77,2.25,7.42
682,맨체스터 바이 더 씨,137956,7.34,6.17,5.28
683,레고 배트맨 무비,132627,0.0,0.0,6.06
684,라이언,134841,6.64,6.0,6.5
685,언더월드: 블러드 워,137887,9.3,6.5,9.18
686,마스터,145162,9.15,6.38,8.99
687,녹터널 애니멀스,143409,7.94,6.5,7.65
688,밤의 해변에서 혼자,156465,9.51,6.2,9.25
689,마이펫 오지,157500,8.27,6.47,8.35
690,극장판 소드 아트 온라인 -오디널 스케일-,159408,8.56,5.22,8.03
691,레지던트 이블: 파멸의 날,110333,9.6,0.0,9.39
